!13N to 13C e-capture
!From ../13n-13c_electroncapture.dat compiled by GMP from Schwab et al. 2017
!Experimental data used from Zegers et al. 2008
!
!Log(rhoY)       Log(T)        mu        dQ           Vs           Log(e-cap-rate)   nu-energy-loss       gamma-energy
!Log(g/cm^3)     Log(K)        erg       erg          erg          Log(1/s)          Log(erg/s)           Log(erg/s)
8.000000       8.000000     0.000000   -0.044400     0.0112       -0.532500            -5.769490e+00         -100.00
8.000000       8.050000     0.000000   -0.044200     0.0112       -0.532500            -5.769390e+00         -100.00
8.000000       8.100000     0.000000   -0.043900     0.0112       -0.532400            -5.769290e+00         -100.00
8.000000       8.150000     0.000000   -0.043700     0.0112       -0.532300            -5.769190e+00         -100.00
8.000000       8.200000     0.000000   -0.043400     0.0112       -0.532200            -5.768990e+00         -100.00
8.000000       8.250000     0.000000   -0.043100     0.0112       -0.532100            -5.768890e+00         -100.00
8.000000       8.300000     0.000000   -0.042800     0.0112       -0.532000            -5.768690e+00         -100.00
8.000000       8.350000     0.000000   -0.042500     0.0112       -0.531800            -5.768490e+00         -100.00
8.000000       8.400000     0.000000   -0.042100     0.0112       -0.531700            -5.768290e+00         -100.00
8.000000       8.450000     0.000000   -0.041700     0.0112       -0.531500            -5.767990e+00         -100.00
8.000000       8.500000     0.000000   -0.041300     0.0112       -0.531300            -5.767690e+00         -100.00
8.000000       8.550000     0.000000   -0.040900     0.0112       -0.531100            -5.767390e+00         -100.00
8.000000       8.600000     0.000000   -0.040500     0.0112       -0.530800            -5.766990e+00         -100.00
8.000000       8.650000     0.000000   -0.040000     0.0112       -0.530400            -5.766490e+00         -100.00
8.000000       8.700000     0.000000   -0.039500     0.0112       -0.530100            -5.765890e+00         -100.00
8.000000       8.750000     0.000000   -0.039000     0.0112       -0.529600            -5.765190e+00         -100.00
8.000000       8.800000     0.000000   -0.038400     0.0112       -0.529000            -5.764390e+00         -100.00
8.000000       8.850000     0.000000   -0.037900     0.0112       -0.528400            -5.763390e+00         -100.00
8.000000       8.900000     0.000000   -0.037300     0.0112       -0.527500            -5.762190e+00         -100.00
8.000000       8.950000     0.000000   -0.036600     0.0112       -0.526600            -5.760790e+00         -100.00
8.000000       9.000000     0.000000   -0.036000     0.0112       -0.525300            -5.758990e+00         -100.00
8.000000       9.050000     0.000000   -0.035300     0.0112       -0.523800            -5.756790e+00         -100.00
8.000000       9.100000     0.000000   -0.034600     0.0112       -0.522000            -5.754090e+00         -100.00
8.000000       9.150000     0.000000   -0.033800     0.0112       -0.519700            -5.750790e+00         -100.00
8.000000       9.200000     0.000000   -0.033100     0.0112       -0.516900            -5.746590e+00         -100.00
8.000000       9.250000     0.000000   -0.032300     0.0112       -0.513500            -5.741490e+00         -100.00
8.000000       9.300000     0.000000   -0.031500     0.0112       -0.509200            -5.735190e+00         -100.00
8.000000       9.350000     0.000000   -0.032100     0.0112       -0.504200            -5.727890e+00         -100.00
8.000000       9.400000     0.000000   -0.031400     0.0112       -0.497600            -5.718290e+00         -100.00
8.000000       9.450000     0.000000   -0.028900     0.0112       -0.489000            -5.705690e+00         -100.00
8.000000       9.500000     0.000000   -0.028000     0.0112       -0.478800            -5.690790e+00         -100.00
8.000000       9.550000     0.000000   -0.027000     0.0112       -0.466300            -5.672590e+00         -100.00
8.000000       9.600000     0.000000   -0.026100     0.0112       -0.450900            -5.650090e+00         -100.00
8.000000       9.650000     0.000000   -0.025100     0.0112       -0.432100            -5.622690e+00         -100.00
8.020000       8.000000     0.000000   -0.045100     0.0113       -0.505800            -5.739790e+00         -100.00
8.020000       8.050000     0.000000   -0.044900     0.0113       -0.505700            -5.739690e+00         -100.00
8.020000       8.100000     0.000000   -0.044700     0.0113       -0.505700            -5.739490e+00         -100.00
8.020000       8.150000     0.000000   -0.044400     0.0113       -0.505600            -5.739390e+00         -100.00
8.020000       8.200000     0.000000   -0.044100     0.0113       -0.505500            -5.739290e+00         -100.00
8.020000       8.250000     0.000000   -0.043800     0.0113       -0.505400            -5.739090e+00         -100.00
8.020000       8.300000     0.000000   -0.043500     0.0113       -0.505300            -5.738990e+00         -100.00
8.020000       8.350000     0.000000   -0.043200     0.0113       -0.505100            -5.738790e+00         -100.00
8.020000       8.400000     0.000000   -0.042800     0.0113       -0.505000            -5.738490e+00         -100.00
8.020000       8.450000     0.000000   -0.042400     0.0113       -0.504800            -5.738290e+00         -100.00
8.020000       8.500000     0.000000   -0.042000     0.0113       -0.504600            -5.737990e+00         -100.00
8.020000       8.550000     0.000000   -0.041600     0.0113       -0.504300            -5.737590e+00         -100.00
8.020000       8.600000     0.000000   -0.041200     0.0113       -0.504100            -5.737190e+00         -100.00
8.020000       8.650000     0.000000   -0.040700     0.0113       -0.503700            -5.736790e+00         -100.00
8.020000       8.700000     0.000000   -0.040200     0.0113       -0.503300            -5.736190e+00         -100.00
8.020000       8.750000     0.000000   -0.039700     0.0113       -0.502900            -5.735490e+00         -100.00
8.020000       8.800000     0.000000   -0.039100     0.0113       -0.502300            -5.734690e+00         -100.00
8.020000       8.850000     0.000000   -0.038500     0.0113       -0.501700            -5.733690e+00         -100.00
8.020000       8.900000     0.000000   -0.037900     0.0113       -0.500900            -5.732590e+00         -100.00
8.020000       8.950000     0.000000   -0.037300     0.0113       -0.499900            -5.731090e+00         -100.00
8.020000       9.000000     0.000000   -0.036600     0.0113       -0.498700            -5.729390e+00         -100.00
8.020000       9.050000     0.000000   -0.035900     0.0113       -0.497200            -5.727190e+00         -100.00
8.020000       9.100000     0.000000   -0.035200     0.0113       -0.495400            -5.724490e+00         -100.00
8.020000       9.150000     0.000000   -0.034500     0.0113       -0.493100            -5.721290e+00         -100.00
8.020000       9.200000     0.000000   -0.033700     0.0113       -0.490400            -5.717190e+00         -100.00
8.020000       9.250000     0.000000   -0.032900     0.0113       -0.486900            -5.712190e+00         -100.00
8.020000       9.300000     0.000000   -0.032100     0.0113       -0.482700            -5.705990e+00         -100.00
8.020000       9.350000     0.000000   -0.032700     0.0113       -0.477800            -5.698790e+00         -100.00
8.020000       9.400000     0.000000   -0.032000     0.0113       -0.471300            -5.689290e+00         -100.00
8.020000       9.450000     0.000000   -0.029500     0.0113       -0.462700            -5.676890e+00         -100.00
8.020000       9.500000     0.000000   -0.028500     0.0113       -0.452700            -5.662290e+00         -100.00
8.020000       9.550000     0.000000   -0.027600     0.0113       -0.440300            -5.644290e+00         -100.00
8.020000       9.600000     0.000000   -0.026600     0.0113       -0.425100            -5.622190e+00         -100.00
8.020000       9.650000     0.000000   -0.025600     0.0113       -0.406500            -5.595190e+00         -100.00
8.040000       8.000000     0.000000   -0.045900     0.0115       -0.479000            -5.709890e+00         -100.00
8.040000       8.050000     0.000000   -0.045600     0.0115       -0.478900            -5.709790e+00         -100.00
8.040000       8.100000     0.000000   -0.045400     0.0115       -0.478800            -5.709690e+00         -100.00
8.040000       8.150000     0.000000   -0.045100     0.0115       -0.478800            -5.709590e+00         -100.00
8.040000       8.200000     0.000000   -0.044800     0.0115       -0.478700            -5.709390e+00         -100.00
8.040000       8.250000     0.000000   -0.044500     0.0115       -0.478600            -5.709290e+00         -100.00
8.040000       8.300000     0.000000   -0.044200     0.0115       -0.478400            -5.709090e+00         -100.00
8.040000       8.350000     0.000000   -0.043900     0.0115       -0.478300            -5.708890e+00         -100.00
8.040000       8.400000     0.000000   -0.043500     0.0115       -0.478100            -5.708690e+00         -100.00
8.040000       8.450000     0.000000   -0.043100     0.0115       -0.478000            -5.708390e+00         -100.00
8.040000       8.500000     0.000000   -0.042700     0.0115       -0.477800            -5.708090e+00         -100.00
8.040000       8.550000     0.000000   -0.042300     0.0115       -0.477500            -5.707790e+00         -100.00
8.040000       8.600000     0.000000   -0.041900     0.0115       -0.477200            -5.707390e+00         -100.00
8.040000       8.650000     0.000000   -0.041400     0.0115       -0.476900            -5.706890e+00         -100.00
8.040000       8.700000     0.000000   -0.040900     0.0115       -0.476500            -5.706290e+00         -100.00
8.040000       8.750000     0.000000   -0.040400     0.0115       -0.476100            -5.705690e+00         -100.00
8.040000       8.800000     0.000000   -0.039800     0.0115       -0.475500            -5.704890e+00         -100.00
8.040000       8.850000     0.000000   -0.039200     0.0115       -0.474900            -5.703890e+00         -100.00
8.040000       8.900000     0.000000   -0.038600     0.0115       -0.474100            -5.702790e+00         -100.00
8.040000       8.950000     0.000000   -0.038000     0.0115       -0.473100            -5.701390e+00         -100.00
8.040000       9.000000     0.000000   -0.037300     0.0115       -0.471900            -5.699590e+00         -100.00
8.040000       9.050000     0.000000   -0.036600     0.0115       -0.470400            -5.697490e+00         -100.00
8.040000       9.100000     0.000000   -0.035900     0.0115       -0.468600            -5.694890e+00         -100.00
8.040000       9.150000     0.000000   -0.035100     0.0115       -0.466400            -5.691690e+00         -100.00
8.040000       9.200000     0.000000   -0.034300     0.0115       -0.463700            -5.687690e+00         -100.00
8.040000       9.250000     0.000000   -0.033500     0.0115       -0.460300            -5.682690e+00         -100.00
8.040000       9.300000     0.000000   -0.032700     0.0115       -0.456100            -5.676590e+00         -100.00
8.040000       9.350000     0.000000   -0.033300     0.0115       -0.451200            -5.669590e+00         -100.00
8.040000       9.400000     0.000000   -0.032600     0.0115       -0.444800            -5.660190e+00         -100.00
8.040000       9.450000     0.000000   -0.030000     0.0115       -0.436400            -5.647990e+00         -100.00
8.040000       9.500000     0.000000   -0.029100     0.0115       -0.426500            -5.633590e+00         -100.00
8.040000       9.550000     0.000000   -0.028100     0.0115       -0.414300            -5.615890e+00         -100.00
8.040000       9.600000     0.000000   -0.027100     0.0115       -0.399300            -5.594190e+00         -100.00
8.040000       9.650000     0.000000   -0.026100     0.0115       -0.380900            -5.567590e+00         -100.00
8.060000       8.000000     0.000000   -0.046600     0.0117       -0.452100            -5.679890e+00         -100.00
8.060000       8.050000     0.000000   -0.046400     0.0117       -0.452000            -5.679790e+00         -100.00
8.060000       8.100000     0.000000   -0.046100     0.0117       -0.451900            -5.679690e+00         -100.00
8.060000       8.150000     0.000000   -0.045900     0.0117       -0.451800            -5.679590e+00         -100.00
8.060000       8.200000     0.000000   -0.045600     0.0117       -0.451700            -5.679390e+00         -100.00
8.060000       8.250000     0.000000   -0.045300     0.0117       -0.451600            -5.679290e+00         -100.00
8.060000       8.300000     0.000000   -0.045000     0.0117       -0.451500            -5.679090e+00         -100.00
8.060000       8.350000     0.000000   -0.044600     0.0117       -0.451400            -5.678890e+00         -100.00
8.060000       8.400000     0.000000   -0.044200     0.0117       -0.451200            -5.678690e+00         -100.00
8.060000       8.450000     0.000000   -0.043900     0.0117       -0.451000            -5.678390e+00         -100.00
8.060000       8.500000     0.000000   -0.043500     0.0117       -0.450800            -5.678190e+00         -100.00
8.060000       8.550000     0.000000   -0.043000     0.0117       -0.450600            -5.677790e+00         -100.00
8.060000       8.600000     0.000000   -0.042600     0.0117       -0.450300            -5.677390e+00         -100.00
8.060000       8.650000     0.000000   -0.042100     0.0117       -0.450000            -5.676990e+00         -100.00
8.060000       8.700000     0.000000   -0.041600     0.0117       -0.449600            -5.676390e+00         -100.00
8.060000       8.750000     0.000000   -0.041000     0.0117       -0.449100            -5.675790e+00         -100.00
8.060000       8.800000     0.000000   -0.040500     0.0117       -0.448600            -5.674990e+00         -100.00
8.060000       8.850000     0.000000   -0.039900     0.0117       -0.447900            -5.673990e+00         -100.00
8.060000       8.900000     0.000000   -0.039300     0.0117       -0.447100            -5.672890e+00         -100.00
8.060000       8.950000     0.000000   -0.038600     0.0117       -0.446200            -5.671490e+00         -100.00
8.060000       9.000000     0.000000   -0.038000     0.0117       -0.445000            -5.669790e+00         -100.00
8.060000       9.050000     0.000000   -0.037200     0.0117       -0.443600            -5.667690e+00         -100.00
8.060000       9.100000     0.000000   -0.036500     0.0117       -0.441800            -5.665090e+00         -100.00
8.060000       9.150000     0.000000   -0.035800     0.0117       -0.439600            -5.661890e+00         -100.00
8.060000       9.200000     0.000000   -0.035000     0.0117       -0.436900            -5.657990e+00         -100.00
8.060000       9.250000     0.000000   -0.034200     0.0117       -0.433500            -5.653190e+00         -100.00
8.060000       9.300000     0.000000   -0.033300     0.0117       -0.429400            -5.647090e+00         -100.00
8.060000       9.350000     0.000000   -0.033900     0.0117       -0.424600            -5.640190e+00         -100.00
8.060000       9.400000     0.000000   -0.033200     0.0117       -0.418300            -5.630990e+00         -100.00
8.060000       9.450000     0.000000   -0.032500     0.0117       -0.410400            -5.619590e+00         -100.00
8.060000       9.500000     0.000000   -0.029700     0.0117       -0.400200            -5.604890e+00         -100.00
8.060000       9.550000     0.000000   -0.028700     0.0117       -0.388100            -5.587390e+00         -100.00
8.060000       9.600000     0.000000   -0.027700     0.0117       -0.373300            -5.565990e+00         -100.00
8.060000       9.650000     0.000000   -0.026700     0.0117       -0.355200            -5.539790e+00         -100.00
8.080000       8.000000     0.000000   -0.047400     0.0119       -0.425000            -5.649790e+00         -100.00
8.080000       8.050000     0.000000   -0.047100     0.0119       -0.424900            -5.649690e+00         -100.00
8.080000       8.100000     0.000000   -0.046900     0.0119       -0.424800            -5.649590e+00         -100.00
8.080000       8.150000     0.000000   -0.046600     0.0119       -0.424800            -5.649490e+00         -100.00
8.080000       8.200000     0.000000   -0.046300     0.0119       -0.424700            -5.649390e+00         -100.00
8.080000       8.250000     0.000000   -0.046000     0.0119       -0.424600            -5.649190e+00         -100.00
8.080000       8.300000     0.000000   -0.045700     0.0119       -0.424400            -5.648990e+00         -100.00
8.080000       8.350000     0.000000   -0.045300     0.0119       -0.424300            -5.648790e+00         -100.00
8.080000       8.400000     0.000000   -0.045000     0.0119       -0.424100            -5.648590e+00         -100.00
8.080000       8.450000     0.000000   -0.044600     0.0119       -0.424000            -5.648390e+00         -100.00
8.080000       8.500000     0.000000   -0.044200     0.0119       -0.423800            -5.648090e+00         -100.00
8.080000       8.550000     0.000000   -0.043800     0.0119       -0.423500            -5.647690e+00         -100.00
8.080000       8.600000     0.000000   -0.043300     0.0119       -0.423300            -5.647390e+00         -100.00
8.080000       8.650000     0.000000   -0.042800     0.0119       -0.422900            -5.646890e+00         -100.00
8.080000       8.700000     0.000000   -0.042300     0.0119       -0.422600            -5.646390e+00         -100.00
8.080000       8.750000     0.000000   -0.041800     0.0119       -0.422100            -5.645690e+00         -100.00
8.080000       8.800000     0.000000   -0.041200     0.0119       -0.421600            -5.644890e+00         -100.00
8.080000       8.850000     0.000000   -0.040600     0.0119       -0.420900            -5.643990e+00         -100.00
8.080000       8.900000     0.000000   -0.040000     0.0119       -0.420100            -5.642890e+00         -100.00
8.080000       8.950000     0.000000   -0.039300     0.0119       -0.419200            -5.641490e+00         -100.00
8.080000       9.000000     0.000000   -0.038600     0.0119       -0.418000            -5.639790e+00         -100.00
8.080000       9.050000     0.000000   -0.037900     0.0119       -0.416600            -5.637790e+00         -100.00
8.080000       9.100000     0.000000   -0.037200     0.0119       -0.414800            -5.635190e+00         -100.00
8.080000       9.150000     0.000000   -0.036400     0.0119       -0.412600            -5.632090e+00         -100.00
8.080000       9.200000     0.000000   -0.035600     0.0119       -0.410000            -5.628190e+00         -100.00
8.080000       9.250000     0.000000   -0.034800     0.0119       -0.406700            -5.623490e+00         -100.00
8.080000       9.300000     0.000000   -0.033900     0.0119       -0.402600            -5.617590e+00         -100.00
8.080000       9.350000     0.000000   -0.034500     0.0119       -0.397800            -5.610690e+00         -100.00
8.080000       9.400000     0.000000   -0.033800     0.0119       -0.391600            -5.601690e+00         -100.00
8.080000       9.450000     0.000000   -0.033100     0.0119       -0.383800            -5.590490e+00         -100.00
8.080000       9.500000     0.000000   -0.030300     0.0119       -0.373700            -5.575990e+00         -100.00
8.080000       9.550000     0.000000   -0.029300     0.0119       -0.361800            -5.558790e+00         -100.00
8.080000       9.600000     0.000000   -0.028300     0.0119       -0.347200            -5.537690e+00         -100.00
8.080000       9.650000     0.000000   -0.027200     0.0119       -0.329300            -5.511790e+00         -100.00
8.100000       8.000000     0.000000   -0.048100     0.0121       -0.397800            -5.619590e+00         -100.00
8.100000       8.050000     0.000000   -0.047900     0.0121       -0.397800            -5.619490e+00         -100.00
8.100000       8.100000     0.000000   -0.047600     0.0121       -0.397700            -5.619390e+00         -100.00
8.100000       8.150000     0.000000   -0.047400     0.0121       -0.397600            -5.619290e+00         -100.00
8.100000       8.200000     0.000000   -0.047100     0.0121       -0.397500            -5.619190e+00         -100.00
8.100000       8.250000     0.000000   -0.046800     0.0121       -0.397400            -5.618990e+00         -100.00
