!13C to 13N bdecay
!From ../13c-13n_betadecay.dat compiled by GMP from Schwab et al. 2017
!Experimental data used from Zegers et al. 2008
!
!Log(rhoY)       Log(T)        mu        dQ           Vs           Log(beta-decay-rate)   nu-energy-loss    gamma-energy
!Log(g/cm^3)     Log(K)        erg       erg          erg          Log(1/s)               Log(erg/s)        Log(erg/s)
8.000000       8.000000     0.000000   0.044400     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.050000     0.000000   0.044200     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.100000     0.000000   0.043900     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.150000     0.000000   0.043700     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.200000     0.000000   0.043400     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.250000     0.000000   0.043100     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.300000     0.000000   0.042800     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.350000     0.000000   0.042500     0.0112       -99.999000           -1.057943e+02         -100.00
8.000000       8.400000     0.000000   0.042100     0.0112       -99.999000           -9.594009e+01         -100.00
8.000000       8.450000     0.000000   0.041700     0.0112       -99.999000           -8.678719e+01         -100.00
8.000000       8.500000     0.000000   0.041300     0.0112       -99.999000           -7.860589e+01         -100.00
8.000000       8.550000     0.000000   0.040900     0.0112       -99.999000           -7.129039e+01         -100.00
8.000000       8.600000     0.000000   0.040500     0.0112       -99.999000           -6.474629e+01         -100.00
8.000000       8.650000     0.000000   0.040000     0.0112       -99.999000           -5.888959e+01         -100.00
8.000000       8.700000     0.000000   0.039500     0.0112       -99.999000           -5.364509e+01         -100.00
8.000000       8.750000     0.000000   0.039000     0.0112       -99.999000           -4.894619e+01         -100.00
8.000000       8.800000     0.000000   0.038400     0.0112       -99.999000           -4.473319e+01         -100.00
8.000000       8.850000     0.000000   0.037900     0.0112       -99.999000           -4.095289e+01         -100.00
8.000000       8.900000     0.000000   0.037300     0.0112       -99.999000           -3.755799e+01         -100.00
8.000000       8.950000     0.000000   0.036600     0.0112       -99.999000           -3.450609e+01         -100.00
8.000000       9.000000     0.000000   0.036000     0.0112       -99.999000           -3.175949e+01         -100.00
8.000000       9.050000     0.000000   0.035300     0.0112       -99.999000           -2.928469e+01         -100.00
8.000000       9.100000     0.000000   0.034600     0.0112       -99.999000           -2.705149e+01         -100.00
8.000000       9.150000     0.000000   0.033800     0.0112       -99.999000           -2.503329e+01         -100.00
8.000000       9.200000     0.000000   0.033100     0.0112       -99.999000           -2.320599e+01         -100.00
8.000000       9.250000     0.000000   0.032300     0.0112       -99.999000           -2.154829e+01         -100.00
8.000000       9.300000     0.000000   0.031500     0.0112       -99.999000           -2.004119e+01         -100.00
8.000000       9.350000     0.000000   0.032100     0.0112       -99.999000           -1.866489e+01         -100.00
8.000000       9.400000     0.000000   0.031400     0.0112       -99.999000           -1.740969e+01         -100.00
8.000000       9.450000     0.000000   0.028900     0.0112       -99.999000           -1.626199e+01         -100.00
8.000000       9.500000     0.000000   0.028000     0.0112       -99.999000           -1.520409e+01         -100.00
8.000000       9.550000     0.000000   0.027000     0.0112       -99.999000           -1.422789e+01         -100.00
8.000000       9.600000     0.000000   0.026100     0.0112       -99.999000           -1.332369e+01         -100.00
8.000000       9.650000     0.000000   0.025100     0.0112       -99.999000           -1.248259e+01         -100.00
8.020000       8.000000     0.000000   0.045100     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.050000     0.000000   0.044900     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.100000     0.000000   0.044700     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.150000     0.000000   0.044400     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.200000     0.000000   0.044100     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.250000     0.000000   0.043800     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.300000     0.000000   0.043500     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.350000     0.000000   0.043200     0.0113       -99.999000           -1.057943e+02         -100.00
8.020000       8.400000     0.000000   0.042800     0.0113       -99.999000           -9.664979e+01         -100.00
8.020000       8.450000     0.000000   0.042400     0.0113       -99.999000           -8.741979e+01         -100.00
8.020000       8.500000     0.000000   0.042000     0.0113       -99.999000           -7.916989e+01         -100.00
8.020000       8.550000     0.000000   0.041600     0.0113       -99.999000           -7.179319e+01         -100.00
8.020000       8.600000     0.000000   0.041200     0.0113       -99.999000           -6.519449e+01         -100.00
8.020000       8.650000     0.000000   0.040700     0.0113       -99.999000           -5.928919e+01         -100.00
8.020000       8.700000     0.000000   0.040200     0.0113       -99.999000           -5.400149e+01         -100.00
8.020000       8.750000     0.000000   0.039700     0.0113       -99.999000           -4.926389e+01         -100.00
8.020000       8.800000     0.000000   0.039100     0.0113       -99.999000           -4.501649e+01         -100.00
8.020000       8.850000     0.000000   0.038500     0.0113       -99.999000           -4.120559e+01         -100.00
8.020000       8.900000     0.000000   0.037900     0.0113       -99.999000           -3.778339e+01         -100.00
8.020000       8.950000     0.000000   0.037300     0.0113       -99.999000           -3.470719e+01         -100.00
8.020000       9.000000     0.000000   0.036600     0.0113       -99.999000           -3.193899e+01         -100.00
8.020000       9.050000     0.000000   0.035900     0.0113       -99.999000           -2.944489e+01         -100.00
8.020000       9.100000     0.000000   0.035200     0.0113       -99.999000           -2.719449e+01         -100.00
8.020000       9.150000     0.000000   0.034500     0.0113       -99.999000           -2.516099e+01         -100.00
8.020000       9.200000     0.000000   0.033700     0.0113       -99.999000           -2.332009e+01         -100.00
8.020000       9.250000     0.000000   0.032900     0.0113       -99.999000           -2.165039e+01         -100.00
8.020000       9.300000     0.000000   0.032100     0.0113       -99.999000           -2.013259e+01         -100.00
8.020000       9.350000     0.000000   0.032700     0.0113       -99.999000           -1.874669e+01         -100.00
8.020000       9.400000     0.000000   0.032000     0.0113       -99.999000           -1.748299e+01         -100.00
8.020000       9.450000     0.000000   0.029500     0.0113       -99.999000           -1.632779e+01         -100.00
8.020000       9.500000     0.000000   0.028500     0.0113       -99.999000           -1.526329e+01         -100.00
8.020000       9.550000     0.000000   0.027600     0.0113       -99.999000           -1.428129e+01         -100.00
8.020000       9.600000     0.000000   0.026600     0.0113       -99.999000           -1.337189e+01         -100.00
8.020000       9.650000     0.000000   0.025600     0.0113       -99.999000           -1.252629e+01         -100.00
8.040000       8.000000     0.000000   0.045900     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.050000     0.000000   0.045600     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.100000     0.000000   0.045400     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.150000     0.000000   0.045100     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.200000     0.000000   0.044800     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.250000     0.000000   0.044500     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.300000     0.000000   0.044200     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.350000     0.000000   0.043900     0.0115       -99.999000           -1.057943e+02         -100.00
8.040000       8.400000     0.000000   0.043500     0.0115       -99.999000           -9.737079e+01         -100.00
8.040000       8.450000     0.000000   0.043100     0.0115       -99.999000           -8.806259e+01         -100.00
8.040000       8.500000     0.000000   0.042700     0.0115       -99.999000           -7.974289e+01         -100.00
8.040000       8.550000     0.000000   0.042300     0.0115       -99.999000           -7.230399e+01         -100.00
8.040000       8.600000     0.000000   0.041900     0.0115       -99.999000           -6.564999e+01         -100.00
8.040000       8.650000     0.000000   0.041400     0.0115       -99.999000           -5.969519e+01         -100.00
8.040000       8.700000     0.000000   0.040900     0.0115       -99.999000           -5.436349e+01         -100.00
8.040000       8.750000     0.000000   0.040400     0.0115       -99.999000           -4.958679e+01         -100.00
8.040000       8.800000     0.000000   0.039800     0.0115       -99.999000           -4.530439e+01         -100.00
8.040000       8.850000     0.000000   0.039200     0.0115       -99.999000           -4.146239e+01         -100.00
8.040000       8.900000     0.000000   0.038600     0.0115       -99.999000           -3.801239e+01         -100.00
8.040000       8.950000     0.000000   0.038000     0.0115       -99.999000           -3.491149e+01         -100.00
8.040000       9.000000     0.000000   0.037300     0.0115       -99.999000           -3.212129e+01         -100.00
8.040000       9.050000     0.000000   0.036600     0.0115       -99.999000           -2.960759e+01         -100.00
8.040000       9.100000     0.000000   0.035900     0.0115       -99.999000           -2.733979e+01         -100.00
8.040000       9.150000     0.000000   0.035100     0.0115       -99.999000           -2.529069e+01         -100.00
8.040000       9.200000     0.000000   0.034300     0.0115       -99.999000           -2.343609e+01         -100.00
8.040000       9.250000     0.000000   0.033500     0.0115       -99.999000           -2.175399e+01         -100.00
8.040000       9.300000     0.000000   0.032700     0.0115       -99.999000           -2.022529e+01         -100.00
8.040000       9.350000     0.000000   0.033300     0.0115       -99.999000           -1.882969e+01         -100.00
8.040000       9.400000     0.000000   0.032600     0.0115       -99.999000           -1.755749e+01         -100.00
8.040000       9.450000     0.000000   0.030000     0.0115       -99.999000           -1.639469e+01         -100.00
8.040000       9.500000     0.000000   0.029100     0.0115       -99.999000           -1.532339e+01         -100.00
8.040000       9.550000     0.000000   0.028100     0.0115       -99.999000           -1.433539e+01         -100.00
8.040000       9.600000     0.000000   0.027100     0.0115       -99.999000           -1.342079e+01         -100.00
8.040000       9.650000     0.000000   0.026100     0.0115       -99.999000           -1.257059e+01         -100.00
8.060000       8.000000     0.000000   0.046600     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.050000     0.000000   0.046400     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.100000     0.000000   0.046100     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.150000     0.000000   0.045900     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.200000     0.000000   0.045600     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.250000     0.000000   0.045300     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.300000     0.000000   0.045000     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.350000     0.000000   0.044600     0.0117       -99.999000           -1.057943e+02         -100.00
8.060000       8.400000     0.000000   0.044200     0.0117       -99.999000           -9.810349e+01         -100.00
8.060000       8.450000     0.000000   0.043900     0.0117       -99.999000           -8.871579e+01         -100.00
8.060000       8.500000     0.000000   0.043500     0.0117       -99.999000           -8.032509e+01         -100.00
8.060000       8.550000     0.000000   0.043000     0.0117       -99.999000           -7.282309e+01         -100.00
8.060000       8.600000     0.000000   0.042600     0.0117       -99.999000           -6.611269e+01         -100.00
8.060000       8.650000     0.000000   0.042100     0.0117       -99.999000           -6.010779e+01         -100.00
8.060000       8.700000     0.000000   0.041600     0.0117       -99.999000           -5.473139e+01         -100.00
8.060000       8.750000     0.000000   0.041000     0.0117       -99.999000           -4.991479e+01         -100.00
8.060000       8.800000     0.000000   0.040500     0.0117       -99.999000           -4.559699e+01         -100.00
8.060000       8.850000     0.000000   0.039900     0.0117       -99.999000           -4.172329e+01         -100.00
8.060000       8.900000     0.000000   0.039300     0.0117       -99.999000           -3.824509e+01         -100.00
8.060000       8.950000     0.000000   0.038600     0.0117       -99.999000           -3.511909e+01         -100.00
8.060000       9.000000     0.000000   0.038000     0.0117       -99.999000           -3.230649e+01         -100.00
8.060000       9.050000     0.000000   0.037200     0.0117       -99.999000           -2.977289e+01         -100.00
8.060000       9.100000     0.000000   0.036500     0.0117       -99.999000           -2.748739e+01         -100.00
8.060000       9.150000     0.000000   0.035800     0.0117       -99.999000           -2.542249e+01         -100.00
8.060000       9.200000     0.000000   0.035000     0.0117       -99.999000           -2.355379e+01         -100.00
8.060000       9.250000     0.000000   0.034200     0.0117       -99.999000           -2.185929e+01         -100.00
8.060000       9.300000     0.000000   0.033300     0.0117       -99.999000           -2.031949e+01         -100.00
8.060000       9.350000     0.000000   0.033900     0.0117       -99.999000           -1.891399e+01         -100.00
8.060000       9.400000     0.000000   0.033200     0.0117       -99.999000           -1.763309e+01         -100.00
8.060000       9.450000     0.000000   0.032500     0.0117       -99.999000           -1.645979e+01         -100.00
8.060000       9.500000     0.000000   0.029700     0.0117       -99.999000           -1.538439e+01         -100.00
8.060000       9.550000     0.000000   0.028700     0.0117       -99.999000           -1.439039e+01         -100.00
8.060000       9.600000     0.000000   0.027700     0.0117       -99.999000           -1.347039e+01         -100.00
8.060000       9.650000     0.000000   0.026700     0.0117       -99.999000           -1.261559e+01         -100.00
8.080000       8.000000     0.000000   0.047400     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.050000     0.000000   0.047100     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.100000     0.000000   0.046900     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.150000     0.000000   0.046600     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.200000     0.000000   0.046300     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.250000     0.000000   0.046000     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.300000     0.000000   0.045700     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.350000     0.000000   0.045300     0.0119       -99.999000           -1.057943e+02         -100.00
8.080000       8.400000     0.000000   0.045000     0.0119       -99.999000           -9.884799e+01         -100.00
8.080000       8.450000     0.000000   0.044600     0.0119       -99.999000           -8.937939e+01         -100.00
8.080000       8.500000     0.000000   0.044200     0.0119       -99.999000           -8.091669e+01         -100.00
8.080000       8.550000     0.000000   0.043800     0.0119       -99.999000           -7.335049e+01         -100.00
8.080000       8.600000     0.000000   0.043300     0.0119       -99.999000           -6.658289e+01         -100.00
8.080000       8.650000     0.000000   0.042800     0.0119       -99.999000           -6.052699e+01         -100.00
8.080000       8.700000     0.000000   0.042300     0.0119       -99.999000           -5.510519e+01         -100.00
8.080000       8.750000     0.000000   0.041800     0.0119       -99.999000           -5.024809e+01         -100.00
8.080000       8.800000     0.000000   0.041200     0.0119       -99.999000           -4.589419e+01         -100.00
8.080000       8.850000     0.000000   0.040600     0.0119       -99.999000           -4.198829e+01         -100.00
8.080000       8.900000     0.000000   0.040000     0.0119       -99.999000           -3.848149e+01         -100.00
8.080000       8.950000     0.000000   0.039300     0.0119       -99.999000           -3.532999e+01         -100.00
8.080000       9.000000     0.000000   0.038600     0.0119       -99.999000           -3.249469e+01         -100.00
8.080000       9.050000     0.000000   0.037900     0.0119       -99.999000           -2.994079e+01         -100.00
8.080000       9.100000     0.000000   0.037200     0.0119       -99.999000           -2.763729e+01         -100.00
8.080000       9.150000     0.000000   0.036400     0.0119       -99.999000           -2.555639e+01         -100.00
8.080000       9.200000     0.000000   0.035600     0.0119       -99.999000           -2.367339e+01         -100.00
8.080000       9.250000     0.000000   0.034800     0.0119       -99.999000           -2.196619e+01         -100.00
8.080000       9.300000     0.000000   0.033900     0.0119       -99.999000           -2.041509e+01         -100.00
